LucasArts Game Compatibility Chart||logo_lucas_arts|
Humongous Entertainment Game Compatibility Chart||svmlist_space|
Backyard Baseball|baseball|20|sports.png
Backyard Baseball 2001|baseball2001|20|sports.png
Backyard Baseball 2003|baseball2003|20|sports.png
Backyard Football|football|80|sports.png
Backyard Football 2002|football2002|70|sports.png
Bear Stormin'|brstorm|95|sports.png
Big Thinkers First Grade|thinker1|90|thinkers.png
Big Thinkers Kindergarten|thinkerk|90|thinkers.png
Blue's 123 Time Activities|Blues123Time|90|sinimg.png
Blue's ABC Time Activities|BluesABCTime|90|sinimg.png
Blue's Art Time Activities|arttime|90|sinimg.png
Blue's Birthday Adventure|BluesBirthday|50|sinimg.png
Blue's Reading Time Activities|readtime|90|sinimg.png
Blue's Treasure Hunt|BluesTreasureHunt|50|sinimg.png
Fatty Bear's Birthday Surprise|fbear|95|fbear.png
Fatty Bear's Fun Pack|fbpack|95|fbear.png
Freddi Fish 1: The Case of the Missing Kelp Seeds|freddi|90|ffish.png
Freddi Fish 2: The Case of the Haunted Schoolhouse|freddi2|90|ffish.png
Freddi Fish 3: The Case of the Stolen Conch Shell|freddi3|90|ffish.png
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch|freddi4|90|ffish.png
Freddi Fish 5: The Case of the Creature of Coral Cove|freddicove|90|ffish.png
Freddi Fish and Luther's Maze Madness|maze|90|ffish.png
Freddi Fish and Luther's Water Worries|water|90|ffish.png
Let's Explore the Airport with Buzzy|airport|90|field.png
Let's Explore the Farm with Buzzy|farm|90|field.png
Let's Explore the Jungle with Buzzy|jungle|90|field.png
Pajama Sam: Games to Play on Any Day|pjgames|70|pajama.png
Pajama Sam 1: No Need to Hide When It's Dark Outside|pajama|90|pajama.png
Pajama Sam 2: Thunder and Lightning Aren't so Frightening|pajama2|90|pajama.png
Pajama Sam 3: You Are What You Eat From Your Head to Your Feet|pajama3|90|pajama.png
Pajama Sam's Lost & Found|lost|85|pajama.png
Pajama Sam's Sock Works|socks|90|pajama.png
Putt-Putt Enters the Race|puttrace|90|puttputt.png
Putt-Putt Goes to the Moon|puttmoon|95|puttputt.png
Putt-Putt Joins the Circus|puttcircus|90|puttputt.png
Putt-Putt Joins the Parade|puttputt|95|puttputt.png
Putt-Putt Saves the Zoo|puttzoo|90|puttputt.png
Putt-Putt Travels Through Time|putttime|90|puttputt.png
Putt-Putt and Pep's Balloon-O-Rama|balloon|90|puttputt.png
Putt-Putt and Pep's Dog on a Stick|dog|90|puttputt.png
Putt-Putt & Fatty Bear's Activity Pack|activity|95|puttputt.png
Putt-Putt's Fun Pack|funpack|95|puttputt.png
SPY Fox 1: Dry Cereal|spyfox|90|spyfox.png
SPY Fox 2: Some Assembly Required|spyfox2|90|spyfox.png
SPY Fox 3: Operation Ozone|spyozon|90|spyfox.png
SPY Fox in Cheese Chase|chase|90|spyfox.png
SPY Fox in Hold the Mustard|mustard|85|spyfox.png
